date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:48	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:48%20GMT	https://es-la.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&extra_1=auto	/root/websites/Fcaebook/es-la.facebook.com/ad_campaign/landing85ec.php	(from https://es-la.facebook.com/)
14:34:49	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:49%20GMT	https://l.facebook.com/l.php?u=https%3A%2F%2Fes-la.facebook.com%2Fads%2Fcreate%2F%3Fcampaign_id%3D402047449186%26placement%3Dpflo%26extra_1%3Dnot-admgr-user&h=AT1kozaGGq8Nuf8RFgNryFlTufcCDqNk07j2aGj-Ho2jPX_5f4UyhehxNgrSo9N2kUINND79uT0GBnT7A2DRFWEpn2PrXtlTQWYt-ivRLBWJ5e8hllxejdcESIUswjzZFYB6gYFjRAYTlxWy8DZk	/root/websites/Fcaebook/l.facebook.com/l.cbea17.delayed	(from https://es-la.facebook.com/)
14:34:50	489503/489503	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:49%20GMT	https://es-la.facebook.com/directory/groups/	/root/websites/Fcaebook/es-la.facebook.com/directory/groups/index.html	(from https://es-la.facebook.com/)
14:34:50	491937/491937	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:49%20GMT	https://es-la.facebook.com/directory/marketplace/	/root/websites/Fcaebook/es-la.facebook.com/directory/marketplace/index.html	(from https://es-la.facebook.com/)
14:34:51	491715/491715	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:51%20GMT	https://es-la.facebook.com/directory/places/	/root/websites/Fcaebook/es-la.facebook.com/directory/places/index.html	(from https://es-la.facebook.com/)
14:34:51	768440/768440	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:50%20GMT	https://es-la.facebook.com/local/lists/245019872666104/	/root/websites/Fcaebook/es-la.facebook.com/local/lists/245019872666104/index.html	(from https://es-la.facebook.com/)
14:34:52	563615/563615	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:51%20GMT	https://es-la.facebook.com/privacy/explanation	/root/websites/Fcaebook/es-la.facebook.com/privacy/explanation.html	(from https://es-la.facebook.com/)
14:34:52	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:52%20GMT	https://es-la.facebook.com/pages/create/?ref_type=sitefooter	/root/websites/Fcaebook/es-la.facebook.com/pages/create/indexebd6.html	(from https://es-la.facebook.com/)
14:34:52	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:52%20GMT	https://es-la.facebook.com/ads/create/?campaign_id=402047449186&placement=pflo&extra_1=not-admgr-user	/root/websites/Fcaebook/es-la.facebook.com/ads/create/index4496.html	(from https://es-la.facebook.com/)
14:34:54	503543/503543	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:53%20GMT	https://es-la.facebook.com/policies?ref=pf	/root/websites/Fcaebook/es-la.facebook.com/policies30c2.html	(from https://es-la.facebook.com/)
